barcode,sales_date,product_description,quantity_sold
4.80198E+12,01/01/2023 11:03,WILKINS DISTILLED 7L,85
16,01/01/2023 11:05,16,48
4.80653E+12,01/01/2023 11:06,NOB 3-in-1 Choco Manga Ube 1.5,185
35,01/01/2023 11:06,35,35
4.80002E+12,01/01/2023 11:23,POT CHIPS V-CUT BBQ 25gx80,130.5
c7,01/01/2023 11:23,CURLS ASST JNJ 7.5 PESOS,42
15,01/01/2023 12:09,15,15
6,01/01/2023 12:09,6,18
4.80089E+12,01/01/2023 13:24,CREAMSILK TRIPLE KERATIN STR 10ML BY12,40
4.80129E+12,01/01/2023 13:31,HAPPY COTTON 10G,9
4.80036E+12,01/01/2023 13:42,BEAR BRAND Junior 420g,190
23,01/01/2023 13:50,23,23
4.80036E+12,01/01/2023 13:50,CRUNCH Stick 24x60ml,35
15,01/01/2023 13:52,15,15
40329055,01/01/2023 13:54,CAMEL CIG,88
4.80052E+12,01/01/2023 14:04,MOBY CARAMEL 90G,42
4.80169E+12,01/01/2023 14:04,REGENT TEMPURA SHRIMP,20
4.80052E+12,01/01/2023 14:04,CHEEZ IT CHEESE 90G,21
4.80055E+12,01/01/2023 14:05,CHIPS DELIGHT 80G,58
26,01/01/2023 14:19,26,26
4.8065E+12,01/01/2023 14:24,GARDENIA CLASSIC 600g,82
48041812,01/01/2023 14:34,MIGHTY GREEN FLIPTOP,107
4.80019E+12,01/01/2023 14:34,RIBBED CRACKLING 26g XS LS,18
12,01/01/2023 14:41,12,12
4.80653E+12,01/01/2023 15:03,RC COLA QUTE,110
4.80651E+12,01/01/2023 15:12,SANMIG SUGARFEE 10S,65
15,01/01/2023 15:25,15,15
16,01/01/2023 15:25,16,16
4.80653E+12,01/01/2023 15:26,TP SAGOT GULAMAN 500G,110
40329055,01/01/2023 15:33,CAMEL CIG,176
18,01/01/2023 15:35,18,18
4.80002E+12,01/01/2023 15:39,C2 LITRO APPLE 1000MLX12,47
J18,01/01/2023 16:31,JUICE ASST LITRO,40
120,01/01/2023 17:06,120,120
C18,01/01/2023 17:06,CURLS ASST 18,37
BS18,01/01/2023 17:10,BODY SOAP ASST,39
4.80777E+12,01/01/2023 17:11,PANCIT CANTON KALAMANSI,13.75
TP9,01/01/2023 17:11,TOOTHPASTE RETAIL 9,18
SC6,01/01/2023 17:11,SHAMPOO/CONDITIONER RETAIL ASST,13
55,01/01/2023 17:16,55,55
7.50515E+11,01/01/2023 17:16,FITA CRACKER,54
8.996E+12,01/01/2023 17:16,ENERGEN CHAMPION TWIN BY 8 70G,110
4.80198E+12,01/01/2023 17:17,WILKINS DISTILLED 7L,85
4.80089E+12,01/01/2023 17:27,DOVE SERUM  REPAIR BY 12,41
8.996E+12,01/01/2023 17:30,WAFELLO CHOCO 53.5G,110
4.80002E+12,01/01/2023 17:37,POT CHIPS V-CUT BBQ 25gx80,14.5
